0,1-9317945942,ANAND,KNOWLEDGE INSTITUTE OF TECHNOLOGY AND ENGINEERING
1,1-9317945636,MEHSANA,"M.L.INSTITUTE OF DIPLOMA STUDIES, BHANDU"
2,1-9317952940,SURAT,METAS ADVENTIST COLLEGE
3,1-9317960270,GANDHINAGAR,EXCEL INSTITUTE OF DIPLOMA STUDIES
4,1-9317959960,RAJKOT,SUNSHINE EDUCATIONAL TRUST GROUP OF INSTITUTIONS
5,1-9318033986,MEHSANA,DR.NATUBHAI.P.PATEL POLYTECHNIC
6,1-9318035539,SURAT,SHRIMAD RAJCHANDRA INSTITUTE OF MANAGEMENT AND COMPUTER APPLICATION
7,1-9318030985,ANAND,SARDAR PATEL COLLEGE OF ADMINISTRATION & MANAGEMENT
8,1-9318047870,VADODARA,"GOVERNMENT POLYTECHNIC, CHHOTAUDEPUR"
9,1-9318049551,AHMEDABAD,APOLLO INSTITUTE OF ENGGINEERING & TECHNOLOGY
10,1-9318031269,AHMEDABAD,ASIA PACIFIC INSTITUTE OF HOTEL MANAGEMENT
11,1-9318043241,SABARKANTHA,"GOVERNMENT ENGINEERING COLLEGE, MODASA"
12,1-9318043981,MEHSANA,SHREE VASUDEVBHAI AND KANTIBHAI PATEL INSTITUTE OF ENGINEERING
13,1-9318032497,AMRELI,SMT SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE
14,1-9318049847,GANDHINAGAR,KALOL INSTITUTE OF PHARMACY
15,1-9318050025,JUNAGADH,OM ENGINEERING COLLEGE
16,1-9318064771,ANAND,M N COLLEGE OF PHARMACY
17,1-9318051570,SURAT,MAHAVIR SWAMI COLLEGE OF POLYTECHNIC
18,1-9318051767,JUNAGADH,N. R. VEKARIA INSTITUTE OF TECHNOLOGY
19,1-9318999786,SURAT,BHAGWAN MAHAVIR COLLEGE OF HOTEL MANAGEMENT
20,1-9319000049,SURAT,BHAGWAN MAHAVIR COLLEGE OF ARCHITECTURE
21,1-9318015733,JAMNAGAR,INS VALSURA
22,1-9318017534,GANDHINAGAR,SHREE SWAMINARAYAN INSTITUTE OF TECHNOLOGY
